證券代碼,簡稱,年月日,收盤價(元)
COID,Name,MDATE,CLOSE
1326   ,台化         ,20190102,    99.7000
1301   ,台塑         ,20190102,    97.6000
1303   ,南亞         ,20190102,    73.0000
6505   ,台塑化       ,20190102,   103.0000
1326   ,台化         ,20190103,   100.0000
1301   ,台塑         ,20190103,    96.0000
1303   ,南亞         ,20190103,    73.3000
6505   ,台塑化       ,20190103,   104.0000
1326   ,台化         ,20190104,    99.8000
1301   ,台塑         ,20190104,    95.3000
1303   ,南亞         ,20190104,    73.1000
6505   ,台塑化       ,20190104,   104.5000
1326   ,台化         ,20190107,   104.5000
1301   ,台塑         ,20190107,    99.5000
1303   ,南亞         ,20190107,    75.1000
6505   ,台塑化       ,20190107,   109.0000
1326   ,台化         ,20190108,   107.0000
1301   ,台塑         ,20190108,   102.0000
1303   ,南亞         ,20190108,    74.2000
6505   ,台塑化       ,20190108,   107.5000
1326   ,台化         ,20190109,   108.5000
1301   ,台塑         ,20190109,   102.5000
1303   ,南亞         ,20190109,    74.5000
6505   ,台塑化       ,20190109,   114.0000
1326   ,台化         ,20190110,   107.0000
1301   ,台塑         ,20190110,   100.5000
1303   ,南亞         ,20190110,    74.8000
6505   ,台塑化       ,20190110,   111.5000
1326   ,台化         ,20190111,   106.0000
1301   ,台塑         ,20190111,   101.5000
1303   ,南亞         ,20190111,    74.9000
6505   ,台塑化       ,20190111,   110.5000
1326   ,台化         ,20190114,   106.0000
1301   ,台塑         ,20190114,   101.5000
1303   ,南亞         ,20190114,    75.1000
6505   ,台塑化       ,20190114,   109.5000
1326   ,台化         ,20190115,   106.0000
1301   ,台塑         ,20190115,   101.5000
1303   ,南亞         ,20190115,    75.8000
6505   ,台塑化       ,20190115,   111.0000
1326   ,台化         ,20190116,   105.5000
1301   ,台塑         ,20190116,   101.0000
1303   ,南亞         ,20190116,    75.5000
6505   ,台塑化       ,20190116,   109.0000
1326   ,台化         ,20190117,   106.5000
1301   ,台塑         ,20190117,   101.5000
1303   ,南亞         ,20190117,    75.0000
6505   ,台塑化       ,20190117,   109.0000
1326   ,台化         ,20190118,   106.5000
1301   ,台塑         ,20190118,   102.5000
1303   ,南亞         ,20190118,    75.6000
6505   ,台塑化       ,20190118,   110.5000
1326   ,台化         ,20190121,   108.0000
1301   ,台塑         ,20190121,   102.5000
1303   ,南亞         ,20190121,    76.0000
6505   ,台塑化       ,20190121,   112.0000
1326   ,台化         ,20190122,   108.0000
1301   ,台塑         ,20190122,   103.0000
1303   ,南亞         ,20190122,    76.4000
6505   ,台塑化       ,20190122,   111.0000
1326   ,台化         ,20190123,   106.5000
1301   ,台塑         ,20190123,   101.0000
1303   ,南亞         ,20190123,    74.6000
6505   ,台塑化       ,20190123,   110.0000
1326   ,台化         ,20190124,   105.0000
1301   ,台塑         ,20190124,   100.0000
1303   ,南亞         ,20190124,    74.6000
6505   ,台塑化       ,20190124,   107.5000
1326   ,台化         ,20190125,   107.5000
1301   ,台塑         ,20190125,   102.0000
1303   ,南亞         ,20190125,    75.7000
6505   ,台塑化       ,20190125,   108.5000
1326   ,台化         ,20190128,   107.5000
1301   ,台塑         ,20190128,   101.5000
